Shape, Mass, Dimensions
Sphere,0.99,0.36
Sphere,9.71,0.36
Sphere,33.7,1.13
Sphere,8.92,0.36
Sphere,4.0,0.4
Sphere,5.0,0.51
Cyl,102.0,1.7,1.7
Sphere,3.0,0.4
Sphere,38.0,1.0
Cyl,28.74,0.43,0.43
Sphere,46.58,0.26
Sphere,411.0,0.6
Sphere,678.89,2.15
Sphere,1402.38,1.29
Sphere,1402.38,1.29
Box,10.9,0.23,0.23,0.23
Sphere,405.0,0.6
Sphere,47.57,0.24
Box,12.0,0.3,0.3,0.3
Cyl,1246.78,2.4,1.8
Cyl,3000.0,1.0,1.0
Box,49.55,0.5,0.5,0.5
Sphere,23.79,0.25
Box,45.0,0.3,0.3,0.3
Box,94.0,0.6,0.8,0.8
Box,45.0,0.3,0.4,0.4
Box,10.0,0.2,0.2,0.2
Box,60.0,0.3,0.7,0.7
Box,1.0,0.1,0.1,0.1
Box,1.0,0.1,0.1,0.1
Cyl,150.0,1.1,0.6
Sphere,10.0,0.2
Box,100.0,0.5,0.5,0.5
Box,12.0,0.2,0.2,0.2
Box,12.0,0.2,0.2,0.2
Box,35.0,0.5,0.3,0.5
Box,150.0,0.9,0.8,0.9
Box,1.0,0.1,0.1,0.1
Cyl,2054.0,3.2,2.4
Box,56.0,0.5,0.2,0.5
Box,100.0,0.5,0.3,0.5
Box,12.0,0.2,0.2,0.2
Box,12.0,0.2,0.2,0.2
Box,12.0,0.2,0.2,0.2
Box,12.0,0.2,0.2,0.2
Box,12.0,0.2,0.2,0.2
Box,4.0,0.2,0.1,0.2
Box,1.0,0.1,0.1,0.1
Box,100.0,0.5,0.5,0.5
Box,3.0,0.2,0.2,0.2
Box,1.0,0.1,0.1,0.1
Box,1.0,0.1,0.1,0.1
Box,1.0,0.1,0.1,0.1
Box,50.0,0.7,0.5,0.7
Box,1.0,0.1,0.1,0.1
Box,3.5,0.15,0.15,0.15
Box,3.5,0.15,0.15,0.15
Box,5.0,0.3,0.1,0.3
Box,92.0,0.6,0.6,0.6
Box,86.0,0.6,0.6,0.6
Box,3.0,0.3,0.1,0.3
Box,10.0,0.3,0.3,0.3
Box,100.0,0.5,0.5,0.5
Sphere,400.0,0.4
Cyl,2035.0,3.2,2.4
Box,4.0,0.3,0.1,0.3
Box,148.0,0.5,0.5,0.5
Box,6.0,0.3,0.1,0.3
Box,14.0,0.2,0.2,0.2
Box,138.0,0.8,0.8,0.8
Box,100.0,0.5,0.5,0.5
Sphere,1.0,0.1
Sphere,2.0,0.1
Sphere,2.0,0.1
Box,1.0,0.1,0.1,0.1
Box,90.0,0.8,0.6,0.6
Box,4.0,0.3,0.1,0.3
Box,10.0,0.27,0.27,0.27
Box,3.0,0.3,0.1,0.3
Box,3.0,0.3,0.1,0.3
Box,3.0,0.2,0.1,0.2
Box,1.0,0.1,0.1,0.1
Box,1.0,0.1,0.1,0.1
Box,1.0,0.1,0.1,0.1
Box,4.0,0.3,0.1,0.3
Box,4.0,0.3,0.1,0.3
Box,4.0,0.3,0.1,0.3
Sphere,50.0,0.8
Sphere,50.0,0.8
Box,177.0,1.0,1.0,1.0
Box,22.0,0.275,0.5,0.5
Box,100.0,0.5,0.3,0.5
Box,7.0,0.2,0.2,0.2
Box,1.0,0.1,0.1,0.1
Box,2.0,0.2,0.1,0.2
Box,1.333,0.1,0.1,0.1
Box,2.0,0.2,0.1,0.2
Box,10.0,0.3,0.2,0.3
Box,10.0,0.3,0.2,0.3
Box,1.0,0.1,0.1,0.1
Box,3.6,0.3,0.1,0.3
Box,4.0,0.3,0.1,0.1
Box,20.0,0.2,0.2,0.2
Box,82.0,0.8,0.6,0.6
Box,150.0,1.0,1.0,1.0
Box,6.8,0.2,0.2,0.2
Box,135.0,1.0,1.0,1.0
Box,90.0,0.5,0.5,0.5
