satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC
SHIJIAN-6 01A (SJ-6 01A),04035A,0.011167045243339,2.9918208261720345,0.0005436611160375
SHIJIAN-6 01B (SJ-6 01B),04035B,0.0066480669042969,5.240148688515026,0.0022764316970292
COSMOS 2408,04037A,0.0008913506694735,0.0048939522830748,0.0009000775626901
COSMOS 2409,04037B,0.0017738284186048,0.057430886789316,0.0006043457649985
AMC-15,04041A,0.0027717678207867,16.685890587205122,0.135940924559331
JB-3 3 (ZY 2C),04044A,0.0068165901257291,0.6216007153222356,0.0001729773734805
NAVSTAR 56 (USA 180),04045A,0.0015637998768274,0.0146020724763679,0.000499582761155
SWIFT,04047A,0.0116034833459485,29.50559260815139,0.116909190644202
NANOSAT-1,04049B,0.0048995752561546,0.1398721818167564,0.0008873711982947
COSMOS 2414,05002A,0.0029647015463416,7.902659894074306e-05,9.49991675550576e-05
NSS-10,05003A,0.3053874634084012,3.4328605747245957,0.0004215748383978
INMARSAT 4-F1,05009A,0.1246565201940422,18.88198604616919,0.0036290101804271
IRS-P5 (CARTOSAT-1),05017A,0.0059768794274789,0.1755471796646582,0.0011120750812793
DIRECTV 8,05019A,0.2886381677478126,10.994913035024055,12.01397048640084
GALAXY 28 (G-28),05022A,0.1063847516479777,110.97279862409722,0.0011384054740401
SJ-7,05024A,0.0062929642315343,3.0070685455646755,0.0009901796702634
THAICOM 4,05028A,0.1286492063681234,1.3683723486876185,0.0417563585813202
REIMEI (INDEX),05031B,0.0051140552647768,2.326230125450731,0.000528591309494
ANIK F1R,05036A,0.3327944221503703,0.0260869729743334,0.0011389015542005
NAVSTAR 57 (USA 183),05038A,0.0001626032663273,0.0109513379804417,0.0019056518713331
SYRACUSE 3A,05041B,0.0697663041636589,0.0480826875112495,0.0019226251321315
BEIJING 1,05043A,0.0036543097058182,0.3485265163622886,0.0021017535095607
SINAH 1,05043D,0.0034160220455319,0.0043250727625273,0.0008610192745096
CUBESAT XI-V,05043F,0.0015408445342712,0.1328665291282658,0.0002242559731924
INMARSAT 4-F2,05044A,0.9814164327849212,104.84446299067378,0.0209538771014562
COSMOS 2416 (RODNIK-S 1),05048A,0.0012520116669663,0.0001060857448406,0.0039978157349284
METEOSAT-9 (MSG-2),05049B,0.1339087541508597,0.57110227372114,0.0007554045724074
EUTELSAT 174A,05052A,0.6948940402002921,0.4432769695150131,0.0080434977018521
ECHOSTAR 10,06003A,0.2222008004348873,0.1115578554147044,113.47205245318663
SPAINSAT,06007A,0.0787248196436722,1.5513763506181475,0.0048564261589363
JCSAT-5A,06010A,0.2522310071288074,1.5142591750485548,0.0037973716913655
ASTRA 1KR,06012A,3.3419178172850774,51.39798428687759,0.0004221123499878
RESURS-DK 1,06021A,0.0053918945529426,1.0859124604110897,0.0239592927744452
GALAXY 16 (G-16),06023A,0.0012825792247265,2.218225610743913,0.5758445448191953
ARIRANG-2 (KOMPSAT-2),06031A,0.0001308247410314,0.2352452599605221,0.0008307445533701
EUTELSAT 33F,06032A,0.3552830981088435,504.020735450356,0.0091144349140897
JCSAT-3A,06033A,0.4548104366441985,7.778409545023019,5.509712078804139
SYRACUSE 3B,06033B,0.0655368209465635,0.0243818730092306,0.0090253219103954
KOREASAT 5 (MUGUNGWHA 5),06034A,0.0196461027991462,0.5113696351193769,0.0098328237255533
HINODE (SOLAR-B),06041A,0.0031826815409272,0.0339324554204044,0.0013084578821389
NAVSTAR 58 (USA 190),06042A,9.120795224711648e-05,0.0015703965681131,6.845144243419848e-05
DIRECTV 9S,06043A,0.0035516209136864,2.155655143009435,0.00050193425093
OPTUS D1,06043B,0.4194926417168494,0.0034950377632389,0.0054501720864534
SHIJIAN-6 02A (SJ-6 02A),06046A,0.0058967334507603,8.258353138007315,0.0006325848142963
SHIJIAN-6 02B (SJ-6 02B),06046B,0.0045683889819915,0.8653111728570615,0.0031583072573923
DMSP 5D-3 F17 (USA 191),06050A,0.0021369836532839,0.0014575367991651,0.0031403662283596
BADR-4,06051A,0.362537175509653,0.0609311569288978,0.0091490531941411
NAVSTAR 59 (USA 192),06052A,0.0004152619833945,0.0208601781623168,0.0008466022966002
WILDBLUE-1,06054A,0.0055242302103816,2.490843240138449,0.0002280185722582
LAPAN-TUBSAT,07001A,0.0019906880088718,1.248153158349404,0.0032281894522017
SKYNET 5A,07007B,0.1041926347161213,0.0935156944222332,0.0072982179751587
ANIK F3,07009A,0.0002188282710566,2.473991914968331,0.00349052081348
HAIYANG-1B,07010A,0.0019066062126486,0.0004919407923584,0.0008261007645875
SAUDISAT 3,07012B,0.0047082245851239,0.0067998715530636,0.0006008109325238
SAUDICOMSAT 7,07012C,0.0022566685420548,0.0321820280320777,0.0013088211489065
SAUDICOMSAT 6,07012E,0.0016767088030529,0.0384124859260904,0.0006109601071872
SAUDICOMSAT 5,07012H,0.0033027932247579,0.0242665242535787,0.001448268575422
SAUDICOMSAT 3,07012J,0.0036086485433846,0.0794243403550629,0.0015686512877881
SAUDICOMSAT 4,07012L,0.0026595888201024,0.0413884886465478,0.000672903212618
ASTRA 1L,07016A,0.1905427562108315,61.432091963097264,0.0282728386323794
GALAXY 17 (G-17),07016B,0.0604594539365822,2.106069925500433,5.4056714755697614e-05
YAOGAN-2,07019A,0.0027949275690228,0.0242026478513278,9.638249222227932e-05
