satellite_name,norad_id,C_pR_pR,C_pI_pI,C_pC_pC,radial_outlier,in-track_outlier,cross-track_outlier
ASTRA 3B,10021A,0.012219479341433751,0.0150250727241276,0.0102652472611016,1,0,0
COMSATBW-2,10021B,0.012219479341433751,3.5875399031865207,0.01901756128441395,1,0,1
NAVSTAR 65 (USA 213),10022A,0.0048779153931055,0.1322743449547056,0.00136705536431,0,0,0
BEIDOU-2 G3,10024A,0.012219479341433751,1.894504756054248,0.002174337237071,1,0,0
BADR-5,10025A,0.012219479341433751,2.177901173606596,0.01901756128441395,1,0,1
SJ-12,10027A,0.0087583825857833,1.8582750641001184,0.0012283975317764,0,0,0
TANDEM-X,10030A,0.0023592352497363,0.2272809090986984,4.607604999346371e-07,0,0,0
COMS 1,10032A,0.012219479341433751,0.3709820875837862,0.0044411156884278,1,0,0
ARABSAT-5A,10032B,0.0006381329731475,0.5428839882310164,0.01901756128441395,0,0,1
ECHOSTAR 15,10034A,0.012219479341433751,29.445223809833937,0.01901756128441395,1,0,1
CARTOSAT-2B,10035A,0.0044173173177142,0.4622593351124291,0.0003339995919622,0,0,0
ALSAT-2A,10035D,0.0049659277575213,0.5614552936504635,0.0016545213942722,0,0,0
TISAT 1,10035E,0.0344043186988799,6.133551484857041,0.0014282760609291,0,0,0
BEIDOU-2 IGSO-1,10036A,0.0009205343742461,4.975759078178785,0.0163291647418039,0,0,0
NILESAT 201,10037A,0.012219479341433751,0.3902152389262869,0.01901756128441395,1,0,1
RASCOM-QAF 1R,10037B,0.012219479341433751,0.0230316751833675,0.01901756128441395,1,0,1
YAOGAN-10,10038A,0.0023903744471741,0.5971245309335151,4.365164678394617e-06,0,0,0
